eps,min_samples,auc,accuracy
0.1,2,0.7347689850722776,0.5671902268760908
0.1,3,0.774399651613848,0.6130742049469965
0.1,4,0.807750527453372,0.6715517241379311
0.1,5,0.8525460504360353,0.7100093545369505
0.1,6,0.8476092609304229,0.7046413502109705
0.15000000000000002,2,0.861667539674945,0.7379400260756193
0.15000000000000002,3,0.8404206121610119,0.691285081240768
0.15000000000000002,4,0.8322499680547749,0.6946264744429882
0.15000000000000002,5,0.8553524140176434,0.7071759259259259
0.15000000000000002,6,0.8346748435972774,0.679658952496955
0.20000000000000004,2,0.7928275364941857,0.5928270042194093
0.20000000000000004,3,0.8073663091569308,0.6345381526104418
0.20000000000000004,4,0.8022432281926591,0.6440677966101694
0.20000000000000004,5,0.855630185426306,0.6819085487077535
0.20000000000000004,6,0.8589920664653777,0.7230483271375465
0.25000000000000006,2,0.8890589407682741,0.7410071942446043
0.25000000000000006,3,0.9272817004068908,0.8081081081081081
0.25000000000000006,4,0.9076124628584578,0.7837209302325582
0.25000000000000006,5,0.8713275917971472,0.7020725388601037
0.25000000000000006,6,0.9125856120632377,0.7933491686460807
0.30000000000000004,2,0.8710480872250583,0.7289972899728997
0.30000000000000004,3,0.9019335772509316,0.7939560439560439
0.30000000000000004,4,0.9019335772509316,0.7939560439560439
0.30000000000000004,5,0.9200862326578036,0.8181818181818182
0.30000000000000004,6,0.8817907874719051,0.7081081081081081
0.3500000000000001,2,0.9239321566202343,0.7656903765690377
0.3500000000000001,3,0.9618882128410895,0.86328125
0.3500000000000001,4,0.9463151134785945,0.8352941176470589
0.3500000000000001,5,0.9439270011348703,0.8322981366459627
0.3500000000000001,6,0.8938823268012099,0.7709677419354839
0.40000000000000013,2,0.9608174205605153,0.8736462093862816
0.40000000000000013,3,0.9608174205605153,0.8736462093862816
0.40000000000000013,4,0.9545675680178604,0.8622222222222222
0.40000000000000013,5,0.9209008563779576,0.7740963855421686
0.40000000000000013,6,0.9209008563779576,0.7740963855421686
0.45000000000000007,2,0.953796303176628,0.8252032520325203
0.45000000000000007,3,0.953796303176628,0.8252032520325203
0.45000000000000007,4,0.953796303176628,0.8252032520325203
0.45000000000000007,5,0.953796303176628,0.8252032520325203
0.45000000000000007,6,0.9075334312673916,0.7743055555555556
0.5000000000000001,2,0.9559697591240821,0.83203125
0.5000000000000001,3,0.9559697591240821,0.83203125
0.5000000000000001,4,0.9559697591240821,0.83203125
0.5000000000000001,5,0.9364973586984704,0.8026315789473685
0.5000000000000001,6,0.9364973586984704,0.8026315789473685
0.5500000000000002,2,0.9504486676447508,0.8481012658227848
0.5500000000000002,3,0.9504486676447508,0.8481012658227848
0.5500000000000002,4,0.9504486676447508,0.8481012658227848
0.5500000000000002,5,0.8911472945257986,0.7707006369426752
0.5500000000000002,6,0.8911472945257986,0.7707006369426752
0.6000000000000002,2,0.9577817239258525,0.8655913978494624
0.6000000000000002,3,0.9577817239258525,0.8655913978494624
0.6000000000000002,4,0.9577817239258525,0.8655913978494624
0.6000000000000002,5,0.9577817239258525,0.8655913978494624
0.6000000000000002,6,0.9577817239258525,0.8655913978494624
0.6500000000000001,2,0.9577817239258525,0.8655913978494624
0.6500000000000001,3,0.9577817239258525,0.8655913978494624
0.6500000000000001,4,0.9577817239258525,0.8655913978494624
0.6500000000000001,5,0.9577817239258525,0.8655913978494624
0.6500000000000001,6,0.9577817239258525,0.8655913978494624
0.7000000000000002,2,0.9303399633968495,0.8493150684931506
0.7000000000000002,3,0.9303399633968495,0.8493150684931506
0.7000000000000002,4,0.8816195954755276,0.7162162162162162
0.7000000000000002,5,0.8816195954755276,0.7162162162162162
0.7000000000000002,6,0.8816195954755276,0.7162162162162162
